"pandemicday","class","severity","Ntype","Cum N","N"
159,"azithromycin","all","RCT",0,NA
169,"azithromycin","all","RCT",0,NA
179,"azithromycin","all","RCT",0,NA
187,"azithromycin","all","RCT",0,NA
215,"azithromycin","all","RCT",0,NA
220,"azithromycin","all","RCT",0,NA
227,"azithromycin","all","RCT",0,NA
236,"azithromycin","all","RCT",0,NA
242,"azithromycin","all","RCT",0,NA
263,"azithromycin","all","RCT",0,NA
269,"azithromycin","all","RCT",0,NA
278,"azithromycin","all","RCT",111,111
283,"azithromycin","all","RCT",111,NA
290,"azithromycin","all","RCT",555,444
297,"azithromycin","all","RCT",555,NA
318,"azithromycin","all","RCT",555,NA
325,"azithromycin","all","RCT",555,NA
332,"azithromycin","all","RCT",555,NA
339,"azithromycin","all","RCT",555,NA
346,"azithromycin","all","RCT",555,NA
353,"azithromycin","all","RCT",555,NA
360,"azithromycin","all","RCT",555,NA
367,"azithromycin","all","RCT",555,NA
374,"azithromycin","all","RCT",555,NA
381,"azithromycin","all","RCT",8319,7764
408,"azithromycin","all","RCT",8319,NA
422,"azithromycin","all","RCT",8319,NA
425,"azithromycin","all","RCT",8319,NA
429,"azithromycin","all","RCT",8319,NA
437,"azithromycin","all","RCT",8319,NA
444,"azithromycin","all","RCT",8319,NA
450,"azithromycin","all","RCT",8319,NA
457,"azithromycin","all","RCT",8319,NA
471,"azithromycin","all","RCT",8319,NA
478,"azithromycin","all","RCT",8319,NA
492,"azithromycin","all","RCT",8319,NA
499,"azithromycin","all","RCT",8319,NA
513,"azithromycin","all","RCT",8319,NA
520,"azithromycin","all","RCT",8611,292
527,"azithromycin","all","RCT",8611,NA
536,"azithromycin","all","RCT",8615,4
562,"azithromycin","all","RCT",8615,NA
563,"azithromycin","all","RCT",8615,NA
577,"azithromycin","all","RCT",8615,NA
583,"azithromycin","all","RCT",8615,NA
598,"azithromycin","all","RCT",8615,NA
618,"azithromycin","all","RCT",8615,NA
625,"azithromycin","all","RCT",8821,206
639,"azithromycin","all","RCT",8821,NA
682,"azithromycin","all","RCT",8821,NA
688,"azithromycin","all","RCT",8821,NA
730,"azithromycin","all","RCT",8821,NA
737,"azithromycin","all","RCT",8821,NA
758,"azithromycin","all","RCT",8821,NA
789,"azithromycin","all","RCT",8821,NA
793,"azithromycin","all","RCT",8821,NA
808,"azithromycin","all","RCT",8821,NA
159,"azithromycin","all","RWS",0,NA
169,"azithromycin","all","RWS",432,432
177,"azithromycin","all","RWS",432,NA
179,"azithromycin","all","RWS",432,NA
186,"azithromycin","all","RWS",432,NA
188,"azithromycin","all","RWS",432,NA
194,"azithromycin","all","RWS",432,NA
205,"azithromycin","all","RWS",432,NA
215,"azithromycin","all","RWS",731,299
