"facet","type","N","est","se","tau","label","QM","df","p","randomized","ynumeric","facetorder","STUDIES","NSTUDY","Nendpoint","Nevent","Ncontrol","Neventcontrol","xmid","xlow","xhigh","midlabel","lowerlabel","upperlabel","LABEL","rct","yvaluesparsed","yvaluesparsed2"
"azithromycin","not randomized",5,-0.0804377787866513,0.21909650907032,0.35,"not randomized (n=5, tau=0.35)",NA,NA,NA,"not randomized",2,1,5,14802,2516,384,4027,541,0.922712314077416,0.600575488133384,1.41763696882849,"0.92","0.60","1.42","0.92 [0.60-1.42]","RWS","RWS~(n~studies==5*','~tau==0.35)","n~studies==5"
"azithromycin","randomized",6,0.0116343567032704,0.058627741447821,0,"randomized (n=6, tau=0)","0.16",1,"0.68","randomized",1,1,6,24464,3127,594,5694,1079,1.01170229906412,0.901878005881822,1.13490021406037,"1.01","0.90","1.13","1.01 [0.90-1.13]","RCT","RCT~(n~studies==6*','~tau==0)","n~studies==6"
"lopinavir/ritonavir","not randomized",7,-0.357673028810235,0.393806040248343,0.72,"not randomized (n=7, tau=0.72)",NA,NA,NA,"not randomized",2,2,7,1919,571,54,628,79,0.699301689134673,0.323184190941725,1.51313977023952,"0.70","0.32","1.51","0.70 [0.32-1.51]","RWS","RWS~(n~studies==7*','~tau==0.72)","n~studies==7"
"lopinavir/ritonavir","randomized",7,0.0411174215759439,0.0591204878746112,0,"randomized (n=7, tau=0)","1.00",1,"0.32","randomized",1,2,7,27121,3786,645,5641,1057,1.04197444864433,0.927967345681463,1.16998809999112,"1.04","0.93","1.17","1.04 [0.93-1.17]","RCT","RCT~(n~studies==7*','~tau==0)","n~studies==7"
"hydroxychloroquine+azithromycin","randomized",8,-0.565627921204542,0.547045357775297,0,"randomized (n=8, tau=0)","1.67",1,"0.20","randomized",1,3,8,1626,572,5,580,10,0.568003373394077,0.1944001097411,1.65960725339468,"0.57","0.19","1.66","0.57 [0.19-1.66]","RCT","RCT~(n~studies==8*','~tau==0)","n~studies==8"
"hydroxychloroquine+azithromycin","not randomized",12,0.169465202258936,0.157926812643729,0.43,"not randomized (n=12, tau=0.43)",NA,NA,NA,"not randomized",2,3,12,27026,6821,831,8641,1507,1.1846711224369,0.869296208447088,1.61446196900251,"1.18","0.87","1.61","1.18 [0.87-1.61]","RWS","RWS~(n~studies==12*','~tau==0.43)","n~studies==12"
"remdesivir","randomized",9,-0.171731568159475,0.114194189740514,0.24,"randomized (n=9, tau=0.24)","1.14",1,"0.29","randomized",1,4,9,28210,4869,488,4796,531,0.842205217525031,0.673308149255084,1.05346954319672,"0.84","0.67","1.05","0.84 [0.67-1.05]","RCT","RCT~(n~studies==9*','~tau==0.24)","n~studies==9"
"remdesivir","not randomized",15,-0.322466158844313,0.0834532045906494,0.3,"not randomized (n=15, tau=0.3)",NA,NA,NA,"not randomized",2,4,15,642083,51970,3135,57525,3936,0.724360444586721,0.615060624358047,0.85308347324219,"0.72","0.62","0.85","0.72 [0.62-0.85]","RWS","RWS~(n~studies==15*','~tau==0.3)","n~studies==15"
"convalescent plasma","not randomized",21,-0.358547523861014,0.0776187997569508,0.15,"not randomized (n=21, tau=0.15)",NA,NA,NA,"not randomized",2,5,21,17693,3741,520,7275,750,0.69869042058314,0.600087157758595,0.813495668925859,"0.70","0.60","0.81","0.70 [0.60-0.81]","RWS","RWS~(n~studies==21*','~tau==0.15)","n~studies==21"
"convalescent plasma","randomized",24,-0.0185455400956541,0.0373500545241775,0,"randomized (n=24, tau=0)","15.58",1,"0.00","randomized",1,5,24,42832,9842,1684,9124,1623,0.981625370260621,0.912331701760306,1.05618205054159,"0.98","0.91","1.06","0.98 [0.91-1.06]","RCT","RCT~(n~studies==24*','~tau==0)","n~studies==24"
"glucocorticoid","randomized",10,-0.222846095687051,0.11125178688,0.24,"randomized (n=10, tau=0.24)","0.53",1,"0.47","randomized",1,6,10,22229,2955,645,5082,1262,0.800237999897177,0.643457307748582,0.995218872748663,"0.80","0.64","1.00","0.80 [0.64-1.00]","RCT","RCT~(n~studies==10*','~tau==0.24)","n~studies==10"
"glucocorticoid","not randomized",38,-0.0787402941228672,0.162998924600399,0.83,"not randomized (n=38, tau=0.83)",NA,NA,NA,"not randomized",2,6,38,42629,5996,848,9508,957,0.924279934208795,0.671515496168879,1.27218716716877,"0.92","0.67","1.27","0.92 [0.67-1.27]","RWS","RWS~(n~studies==38*','~tau==0.83)","n~studies==38"
"hydroxychloroquine","randomized",26,0.0955254399721583,0.0598507691091714,0,"randomized (n=26, tau=0)","3.62",1,"0.06","randomized",1,7,26,27899,5112,630,6742,1068,1.10023681167176,0.978453448641265,1.23717796021736,"1.10","0.98","1.24","1.10 [0.98-1.24]","RCT","RCT~(n~studies==26*','~tau==0)","n~studies==26"
"hydroxychloroquine","not randomized",29,-0.151509131277233,0.115289714097466,0.47,"not randomized (n=29, tau=0.47)",NA,NA,NA,"not randomized",2,7,29,57471,18144,2082,22248,3236,0.859410034725814,0.685588989894237,1.07730085907792,"0.86","0.69","1.08","0.86 [0.69-1.08]","RWS","RWS~(n~studies==29*','~tau==0.47)","n~studies==29"
"tocilizumab","randomized",13,-0.144359437236677,0.0540838512077018,0,"randomized (n=13, tau=0)","1.82",1,"0.18","randomized",1,8,13,20049,4595,1131,3567,988,0.865576571687308,0.778517518085303,0.962371152927429,"0.87","0.78","0.96","0.87 [0.78-0.96]","RCT","RCT~(n~studies==13*','~tau==0)","n~studies==13"
"tocilizumab","not randomized",50,-0.303419543170518,0.10460429758798,0.61,"not randomized (n=50, tau=0.61)",NA,NA,NA,"not randomized",2,8,50,73455,7700,1813,29470,7526,0.738289287157564,0.601430697433051,0.90629073949505,"0.74","0.60","0.91","0.74 [0.60-0.91]","RWS","RWS~(n~studies==50*','~tau==0.61)","n~studies==50"
"overall","randomized",95,-0.047833926861318,0.0271721306197812,0.09,"randomized (n=95, tau=0.09)","10.26",1,"0.00","randomized",1,9,95,194430,34858,5822,41226,7618,0.953292090141688,0.903850504967745,1.00543818267728,"0.95","0.90","1.01","0.95 [0.90-1.01]","RCT","RCT~(n~studies==95*','~tau==0.09)","n~studies==95"
