"pandemicday","estimate","sevalue","class","severity","ymin","ymax"
164,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
173,-0.681167260192494,0.777264906589551,"azithromycin","all",0.110293919947879,2.32163564513391
178,-0.711049026023741,0.697140829618158,"azithromycin","all",0.125249810489608,1.92581065779917
182.5,-0.674488683441923,0.683035567279336,"azithromycin","all",0.133555468198736,1.94305412890678
186.5,-0.718198651527465,0.67385569967154,"azithromycin","all",0.130164554793,1.82678669637753
187.5,-0.719731009094896,0.669770709516611,"azithromycin","all",0.131010003022283,1.80944393809987
191,-0.715882828571811,0.663268587652181,"azithromycin","all",0.133201899512912,1.79341855047076
199.5,-0.708544602222924,0.647506152500704,"azithromycin","all",0.138393159703961,1.75166621301598
210,-0.757982225421779,0.616600159941757,"azithromycin","all",0.139943215964054,1.56918140934392
217.5,-0.557635010200816,0.547903781548368,"azithromycin","all",0.195630731045889,1.67574258545618
223.5,0.0123757206914187,0.37993133034027,"azithromycin","all",0.480806831728826,2.13195868619462
227.5,0.00599233524471385,0.367418935405235,"azithromycin","all",0.489608700090337,2.06707269340885
232,-0.0232736562455496,0.363853067049672,"azithromycin","all",0.478822330620555,1.99347302280995
239,0.00572257792781333,0.239708346660911,"azithromycin","all",0.628697046415549,1.6089003567066
245.5,-0.00950411134878527,0.23819022465604,"azithromycin","all",0.621041760781369,1.57987973803943
252.5,-0.0104998209365268,0.236920628808181,"azithromycin","all",0.621969480976717,1.57438482948792
259.5,-0.0141511988613303,0.236010090025264,"azithromycin","all",0.620809519918249,1.56584963992956
266,-0.0151107639929531,0.23535489089512,"azithromycin","all",0.621011083024587,1.56234019494302
273.5,-0.014037640201175,0.234588279040328,"azithromycin","all",0.622612672438722,1.56166941472703
280.5,-0.0433114897673651,0.231551958891961,"azithromycin","all",0.608259712688298,1.50761713736356
286.5,-0.0435325827697466,0.230908297537865,"azithromycin","all",0.608892926098849,1.50538349606838
293.5,0.0382566537270149,0.15228342840458,"azithromycin","all",0.77088284733508,1.40036395879138
300.5,0.0260554374366752,0.151778157077847,"azithromycin","all",0.762288832045301,1.38201229980467
307.5,0.0252702221355132,0.151601874153183,"azithromycin","all",0.761953726738217,1.38045050042
314.5,0.0219609293009878,0.151159123049031,"azithromycin","all",0.760095685331222,1.37469626766962
321.5,0.012832034630048,0.127204484611993,"azithromycin","all",0.78939475883078,1.2997251570601
328.5,0.0188856867525043,0.125969524439667,"azithromycin","all",0.796112651513437,1.30445581610653
335.5,0.0196118064122681,0.125301351504523,"azithromycin","all",0.797734979535762,1.30369488908171
342.5,0.0186271035595065,0.125044216164025,"azithromycin","all",0.797351586461902,1.30175553789076
349.5,0.0155068376826371,0.124925840956115,"azithromycin","all",0.795051957918287,1.29739899342532
356.5,0.016577956746205,0.124952972225815,"azithromycin","all",0.795861686577907,1.29885847467193
363.5,0.0165204696092496,0.124852105372382,"azithromycin","all",0.795973283677192,1.29852706624004
370.5,0.0161691329280865,0.124735944744724,"azithromycin","all",0.795874858233485,1.29777542174727
377.5,0.014702527452054,0.124452109454441,"azithromycin","all",0.795150712296931,1.29515277605755
384.5,0.00555254342910911,0.0563746484005906,"azithromycin","all",0.900376952318148,1.123048490545
394.5,0.00614198331599799,0.0564104286754816,"azithromycin","all",0.900844648996154,1.12378946310279
404.5,0.00648191514012014,0.0563923349387317,"azithromycin","all",0.901182885549239,1.12413167323891
415,0.00634833807590329,0.0563628978760761,"azithromycin","all",0.901114506006482,1.12391667696882
423.5,0.00632068159737994,0.0563477990402834,"azithromycin","all",0.901116251682905,1.12385233435984
427,0.00624832487437723,0.0563412498197609,"azithromycin","all",0.901062618613767,1.12375659386679
433,0.0061941566638194,0.0563180371067247,"azithromycin","all",0.90105480526966,1.12364460010293
440.5,0.00547755882482179,0.0562933629311138,"azithromycin","all",0.900452888734689,1.12278538647608
447,0.00551871559542821,0.0562796552529341,"azithromycin","all",0.900514143063119,1.12280143088105
453.5,0.00550992321747169,0.0562730789729818,"azithromycin","all",0.900517832594864,1.1227770866916
464,0.00495340560997684,0.0562478569196475,"azithromycin","all",0.900061311623067,1.12209694282454
474.5,0.00515863700220593,0.0562354441456324,"azithromycin","all",0.900267953801685,1.122299951166
485,0.00409670026288191,0.0562016713330114,"azithromycin","all",0.899371965325617,1.12103456318864
495.5,0.00409150583414606,0.0561930737299152,"azithromycin","all",0.8993824492518,1.12100984943485
506,0.00411657796096258,0.0561805764162471,"azithromycin","all",0.899427029922046,1.12101049669719
516.5,0.00403320680023952,0.0561608857037206,"azithromycin","all",0.899386756852049,1.12087378103728
523.5,0.00404782668189017,0.0561140680330723,"azithromycin","all",0.899482440967678,1.12078731708333
531.5,0.00400106007998437,0.056095425339041,"azithromycin","all",0.899473242078308,1.12069395234778
549,0.00440475508911407,0.056047736427031,"azithromycin","all",0.899920540122877,1.12104167327258
562.5,0.00354830836332448,0.0560336530021661,"azithromycin","all",0.899174956119712,1.12005105405702
566,0.00356168864505757,0.0560306904421359,"azithromycin","all",0.899192208664642,1.12005953697958
573,0.00348213856918251,0.0559845696989935,"azithromycin","all",0.899201961878378,1.11986920269494
580,0.00329286936818715,0.0559493340573244,"azithromycin","all",0.899093877695815,1.11957994306222
590.5,0.00330184534580215,0.0559464212418597,"azithromycin","all",0.899107081072602,1.11958360057835
601,0.00383006560324829,0.0559153616004417,"azithromycin","all",0.899636898537423,1.12010695282341
607.5,0.00377434857041244,0.055891484968729,"azithromycin","all",0.899628874860435,1.11999213068602
614.5,0.00372046957568777,0.0558787471645449,"azithromycin","all",0.899602864358089,1.11990382828579
621.5,0.00451608710225786,0.0558747164897539,"azithromycin","all",0.900326001624707,1.1207863435628
632,0.00443689917289523,0.0558416843895484,"azithromycin","all",0.900312996497875,1.12062503944505
642.5,0.0043311895399919,0.05582169877539,"azithromycin","all",0.900253093618456,1.12046269344013
649.5,0.00433215334334856,0.0558184987869108,"azithromycin","all",0.900259607676051,1.12045674584491
656.5,0.0042857003585659,0.0558071983493828,"azithromycin","all",0.900237727917893,1.12037988308438
663.5,0.0042821432536763,0.0558003804301285,"azithromycin","all",0.900246555707504,1.12036092616322
670.5,0.00457715395834433,0.055798372329201,"azithromycin","all",0.90051572156983,1.12068708249146
678,0.0043240285331704,0.0576828648563894,"azithromycin","all",0.896968632761629,1.12454942424927
685,0.00396416988541428,0.0573969495935105,"azithromycin","all",0.897148524643058,1.123515030784
695,0.0039929240363876,0.0573889965840828,"azithromycin","all",0.89718830692931,1.12352982336396
705.5,0.00399036333261256,0.0573773383024621,"azithromycin","all",0.897206510641438,1.12350127378254
719.5,0.00397541714810545,0.057369529133089,"azithromycin","all",0.897206833445151,1.12346728596031
733.5,0.00397329194902506,0.0573635075707254,"azithromycin","all",0.897215515814349,1.12345163902211
