Country_ID,zlene,COUNTRY
BGD,-2.72,BD
BGD,-0.65,BD
BGD,-1.48,BD
BGD,-1.88,BD
BGD,-0.56,BD
BGD,0.5,BD
BGD,-0.97,BD
BGD,0.3,BD
BGD,-2.58,BD
BGD,-0.26,BD
BGD,-1.58,BD
BGD,-0.26,BD
BGD,-0.84,BD
BGD,-2.05,BD
BGD,-2.08,BD
BGD,0.78,BD
BGD,-0.18,BD
BGD,-0.14,BD
BGD,0.59,BD
BGD,-1.83,BD
BGD,-0.82,BD
BGD,-0.97,BD
BGD,-0.72,BD
BGD,-1.62,BD
BGD,-1.73,BD
BGD,0.3,BD
BGD,-1.79,BD
BGD,0.3,BD
BGD,-0.51,BD
BGD,-1.37,BD
BGD,-2.05,BD
BGD,-0.45,BD
BGD,-0.35,BD
BGD,-0.4,BD
BGD,-0.99,BD
BGD,-1.9,BD
BGD,-1.93,BD
BGD,-0.81,BD
BGD,-2.41,BD
BGD,-0.93,BD
BGD,-0.72,BD
BGD,-1.09,BD
BGD,-1.26,BD
BGD,-1.05,BD
BGD,-0.3,BD
BGD,-1.1,BD
BGD,-1.62,BD
BGD,-0.48,BD
BGD,-2.04,BD
BGD,0.23,BD
BGD,-3.47,BD
BGD,-0.94,BD
BGD,-1.48,BD
BGD,-1.1,BD
BGD,0.54,BD
BGD,-2.31,BD
BGD,-1.64,BD
BGD,-1.51,BD
BGD,-0.44,BD
BGD,0.28,BD
BGD,-1.72,BD
BGD,0.1,BD
BGD,-2.69,BD
BGD,0.56,BD
BGD,-0.08,BD
BGD,-0.87,BD
BGD,-2.49,BD
BGD,-1.48,BD
BGD,-2.76,BD
BGD,-1.77,BD
BGD,-0.65,BD
BGD,-0.47,BD
BGD,-0.85,BD
BGD,-2.31,BD
BGD,-0.57,BD
BGD,0.37,BD
BGD,-0.3,BD
BGD,-1.03,BD
BGD,0.99,BD
BGD,-1.25,BD
BGD,-2.31,BD
BGD,0.73,BD
BGD,-0.46,BD
BGD,1.04,BD
BGD,0.92,BD
BGD,0.28,BD
BGD,-1.26,BD
BGD,-1.54,BD
BGD,0.09,BD
BGD,-0.7,BD
BGD,-0.21,BD
BGD,-1.52,BD
BGD,-1.42,BD
BGD,-0.08,BD
BGD,-0.97,BD
BGD,0.61,BD
BGD,-0.99,BD
BGD,-1.1,BD
BGD,-4.07,BD
BGD,0.56,BD
BGD,-1.18,BD
BGD,-1.42,BD
BGD,-0.84,BD
BGD,-0.51,BD
BGD,-2.84,BD
BGD,-4.11,BD
BGD,-1.42,BD
BGD,0.18,BD
BGD,-1.5,BD
BGD,-1.46,BD
BGD,0.55,BD
BGD,-1.26,BD
BGD,0.04,BD
BGD,-2.48,BD
BGD,-0.71,BD
BGD,-0.4,BD
BGD,0.19,BD
BGD,-2.76,BD
BGD,-1.31,BD
BGD,-1.53,BD
BGD,-1.44,BD
BGD,-1.52,BD
BGD,0.33,BD
BGD,-0.52,BD
BGD,0.3,BD
BGD,-0.76,BD
BGD,-1.77,BD
BGD,0,BD
BGD,-0.97,BD
BGD,-0.64,BD
BGD,-0.31,BD
BGD,-1.01,BD
BGD,-1.68,BD
BGD,0.84,BD
BGD,-0.53,BD
BGD,0.06,BD
BGD,-2.58,BD
BGD,-1.63,BD
BGD,-1.8,BD
BGD,-2.53,BD
BGD,-3.28,BD
BGD,-0.68,BD
BGD,0.14,BD
BGD,-0.84,BD
BGD,0.54,BD
BGD,-2.82,BD
BGD,-0.44,BD
BGD,-0.09,BD
BGD,-3.46,BD
BGD,-0.08,BD
BGD,-2.31,BD
BGD,-0.07,BD
BGD,-2.17,BD
BGD,-1.63,BD
BGD,0.6,BD
BGD,-1.91,BD
BGD,-0.4,BD
BGD,-0.05,BD
BGD,-1.05,BD
BGD,-0.84,BD
BGD,-1.36,BD
BGD,-3.35,BD
BGD,-2.31,BD
BGD,0.36,BD
BGD,-0.72,BD
BGD,-1.11,BD
BGD,0.62,BD
BGD,-0.44,BD
BGD,-1.22,BD
BGD,-1.36,BD
BGD,-0.94,BD
BGD,-0.74,BD
BGD,0.54,BD
BGD,-2.21,BD
BGD,-1.02,BD
BGD,-0.66,BD
BGD,-0.88,BD
BGD,-0.69,BD
BGD,0.84,BD
BGD,-0.44,BD
BGD,-0.3,BD
BGD,-0.34,BD
BGD,-1.15,BD
BGD,-2.06,BD
BGD,-1.33,BD
BGD,-0.17,BD
BGD,-1.45,BD
BGD,-1.01,BD
BGD,-1.4,BD
BGD,-0.82,BD
BGD,-1.05,BD
BGD,-2.25,BD
BGD,-0.18,BD
BGD,-0.84,BD
BGD,0.59,BD
BGD,-0.92,BD
BGD,-1.72,BD
BGD,-1.6,BD
BGD,-2.05,BD
BGD,-0.55,BD
BGD,-1.15,BD
BGD,-0.53,BD
BGD,-0.41,BD
BGD,-1.29,BD
BGD,-1.89,BD
BGD,-2.51,BD
BRF,-0.35,BR
BRF,1.72,BR
BRF,-0.05,BR
BRF,-0.61,BR
BRF,-1.05,BR
BRF,-1.82,BR
BRF,0.63,BR
BRF,-0.18,BR
BRF,-0.12,BR
BRF,-0.6,BR
BRF,-0.53,BR
BRF,-0.68,BR
BRF,0.02,BR
BRF,-1.9,BR
BRF,-0.22,BR
BRF,-0.78,BR
BRF,-0.55,BR
BRF,-1.77,BR
BRF,-0.55,BR
BRF,-0.77,BR
BRF,-0.74,BR
BRF,1.75,BR
BRF,-1.38,BR
BRF,-4.25,BR
BRF,-1.39,BR
BRF,-0.72,BR
BRF,-0.72,BR
BRF,-0.72,BR
BRF,-1.91,BR
BRF,-0.46,BR
BRF,-0.72,BR
BRF,0.22,BR
BRF,1.18,BR
BRF,-0.72,BR
BRF,-1.59,BR
BRF,-1.17,BR
BRF,-0.56,BR
BRF,-0.9,BR
BRF,-4.96,BR
BRF,0.18,BR
BRF,0.4,BR
BRF,-1.33,BR
BRF,-0.49,BR
BRF,-1.36,BR
BRF,0.32,BR
BRF,0.74,BR
BRF,-2.32,BR
BRF,-0.53,BR
BRF,-0.61,BR
BRF,-3.05,BR
BRF,-1.41,BR
BRF,-0.79,BR
BRF,0.54,BR
BRF,-0.31,BR
BRF,-0.61,BR
BRF,-1.57,BR
BRF,-1.31,BR
BRF,1.51,BR
BRF,-2.22,BR
BRF,0.26,BR
BRF,-2.95,BR
BRF,-0.6,BR
BRF,-1.08,BR
BRF,-0.86,BR
BRF,-0.94,BR
BRF,-1.19,BR
BRF,-1.4,BR
BRF,-1.48,BR
BRF,0.09,BR
BRF,-1.64,BR
BRF,-0.86,BR
BRF,-1.28,BR
BRF,0.46,BR
BRF,-0.91,BR
BRF,-1.31,BR
BRF,-3.03,BR
BRF,-0.14,BR
BRF,-0.94,BR
BRF,-0.71,BR
BRF,-2.42,BR
BRF,-1.55,BR
INV,0.72,IN
INV,0.14,IN
INV,-0.56,IN
INV,-1.19,IN
INV,0.7,IN
INV,-1.48,IN
INV,-1.7,IN
INV,0.73,IN
INV,0.23,IN
INV,-0.78,IN
INV,-0.24,IN
INV,-0.78,IN
INV,-0.25,IN
INV,-0.6,IN
INV,-1.14,IN
INV,0.22,IN
INV,-1.76,IN
INV,-1.24,IN
INV,0.41,IN
INV,0.15,IN
INV,-3.92,IN
INV,-0.3,IN
INV,-0.79,IN
INV,-0.93,IN
INV,-0.55,IN
INV,-0.51,IN
INV,-1.07,IN
INV,0.36,IN
INV,-0.18,IN
INV,0.31,IN
INV,0.11,IN
INV,-1.34,IN
INV,-0.69,IN
INV,-0.68,IN
INV,-1.22,IN
INV,0.46,IN
INV,0.11,IN
INV,-2.29,IN
INV,0.14,IN
INV,-4.19,IN
INV,-1.6,IN
INV,-1.84,IN
INV,-2.69,IN
INV,-2.3,IN
INV,-0.32,IN
INV,-2.51,IN
INV,0.37,IN
INV,-1.52,IN
INV,-1.15,IN
INV,-0.72,IN
INV,-3.14,IN
INV,-0.53,IN
INV,0.29,IN
INV,-0.41,IN
INV,-0.04,IN
INV,-2.93,IN
INV,-2.76,IN
INV,0.74,IN
INV,0.03,IN
INV,1.02,IN
INV,-1.79,IN
INV,-0.39,IN
INV,0.05,IN
INV,-0.28,IN
INV,-1.33,IN
INV,-0.58,IN
INV,-3.17,IN
INV,-3.7,IN
INV,1.55,IN
INV,-2.06,IN
INV,-1.02,IN
INV,-0.18,IN
INV,-1.51,IN
INV,-2.27,IN
INV,-1.47,IN
INV,-0.13,IN
INV,0.34,IN
INV,0,IN
INV,-0.76,IN
INV,-1.84,IN
INV,-2.5,IN
INV,-1.41,IN
INV,-1.92,IN
INV,-1.22,IN
INV,-2.43,IN
INV,-2.34,IN
INV,-2.28,IN
INV,-1.37,IN
INV,-1.33,IN
INV,-0.51,IN
INV,-1.96,IN
INV,-2.27,IN
INV,-0.66,IN
INV,-0.13,IN
INV,0.04,IN
INV,-2.19,IN
INV,-1.22,IN
INV,-0.21,IN
INV,-1.33,IN
INV,-2.04,IN
INV,-0.76,IN
INV,-2.97,IN
INV,-0.94,IN
INV,-1.85,IN
INV,-0.72,IN
INV,-1.04,IN
INV,-0.58,IN
INV,-2.35,IN
INV,-1.33,IN
INV,-1.36,IN
INV,-0.28,IN
INV,-1.06,IN
INV,-0.18,IN
INV,0.12,IN
INV,-1.69,IN
INV,-1.7,IN
INV,-2.95,IN
INV,-1.61,IN
INV,0.53,IN
INV,-1.79,IN
INV,-1.55,IN
INV,-0.94,IN
INV,0.03,IN
INV,-0.99,IN
INV,0.16,IN
INV,0.97,IN
INV,-0.86,IN
INV,-1.65,IN
INV,-0.44,IN
INV,-1.15,IN
INV,-1.67,IN
INV,-2.59,IN
INV,-2.35,IN
INV,-1.23,IN
INV,-0.71,IN
INV,-1.2,IN
INV,-0.81,IN
INV,-2.06,IN
INV,-1.06,IN
INV,-0.26,IN
INV,-0.45,IN
INV,-0.07,IN
INV,-0.89,IN
INV,-0.27,IN
INV,0.71,IN
INV,-3.04,IN
INV,-2.5,IN
INV,-0.76,IN
INV,-1.38,IN
INV,-0.78,IN
INV,-1.15,IN
INV,-0.03,IN
INV,-1.48,IN
INV,-1.91,IN
INV,-0.85,IN
INV,-1.38,IN
INV,0.28,IN
INV,-1.36,IN
INV,0.2,IN
INV,-1.83,IN
INV,1.06,IN
INV,0.19,IN
INV,-2.26,IN
INV,-0.62,IN
INV,-1.46,IN
INV,-1.32,IN
INV,-1.48,IN
INV,-0.34,IN
INV,-0.27,IN
INV,-0.38,IN
INV,-2.19,IN
INV,-1.32,IN
INV,-1.74,IN
INV,-1.01,IN
INV,-1.06,IN
INV,0.44,IN
INV,-0.44,IN
INV,-1.5,IN
INV,-0.62,IN
INV,-0.28,IN
INV,-5.04,IN
INV,-1.67,IN
INV,0.19,IN
INV,-0.69,IN
INV,-0.15,IN
INV,-0.85,IN
INV,0.44,IN
INV,-0.41,IN
INV,-0.51,IN
INV,-0.34,IN
INV,-0.95,IN
INV,-1.5,IN
INV,-0.42,IN
INV,0.6,IN
INV,-1.1,IN
INV,-1.08,IN
INV,-0.41,IN
INV,-1.15,IN
INV,-0.44,IN
INV,0.07,IN
NEB,-2.84,NP
NEB,-1.83,NP
NEB,0.41,NP
NEB,-0.94,NP
NEB,-1.02,NP
NEB,-2.43,NP
NEB,0.47,NP
NEB,-0.27,NP
NEB,-0.6,NP
NEB,-1.29,NP
NEB,-1.28,NP
NEB,-0.44,NP
NEB,-0.29,NP
NEB,-0.6,NP
NEB,-1.24,NP
NEB,0.52,NP
NEB,-0.95,NP
NEB,-1.13,NP
NEB,-1.75,NP
NEB,-1.56,NP
NEB,-2.35,NP
NEB,1.13,NP
NEB,0.46,NP
NEB,0.66,NP
NEB,0.58,NP
NEB,-2.94,NP
NEB,-1.83,NP
NEB,0.87,NP
NEB,-0.07,NP
NEB,-0.94,NP
NEB,-0.39,NP
NEB,-0.42,NP
NEB,0.03,NP
NEB,-2.61,NP
NEB,-0.93,NP
NEB,-1.06,NP
NEB,-0.32,NP
NEB,-0.94,NP
NEB,-2.29,NP
NEB,-0.39,NP
NEB,-1.06,NP
NEB,-0.55,NP
NEB,-1.57,NP
NEB,-0.03,NP
NEB,-0.73,NP
NEB,0.62,NP
NEB,0.99,NP
NEB,-2.26,NP
NEB,-0.55,NP
NEB,-1.91,NP
NEB,0.08,NP
NEB,-0.68,NP
NEB,-0.18,NP
