iagems,name,cn,country,75%,25%,effect,lower,upper,pool_effect,pool_lower,pool_upper,ALL
0 Months,"Maternal height
(25th vs. 75th %ile)",BRF,BR,160,150.5,0.948470177,0.384680939,2.338550175,1.650377955,1.275290088,2.135786532,ALL Sites
0 Months,"Maternal height
(25th vs. 75th %ile)",INV,IN,154.5,148,1.351064421,0.841375924,2.169511887,1.650377955,1.275290088,2.135786532,ALL Sites
0 Months,"Maternal height
(25th vs. 75th %ile)",BGD,BG,152.5,145.8,1.529604627,0.990716043,2.361615452,1.650377955,1.275290088,2.135786532,ALL Sites
0 Months,"Maternal height
(25th vs. 75th %ile)",SAV,SA,162.375,155.025,1.722317771,1.044606261,2.839709673,1.650377955,1.275290088,2.135786532,ALL Sites
0 Months,"Maternal height
(25th vs. 75th %ile)",TZH,TZ,159.3,152,1.516367325,0.674318109,3.409918607,1.650377955,1.275290088,2.135786532,ALL Sites
0 Months,"Maternal height
(25th vs. 75th %ile)",NEB,NP,152.625,146.35,1.294445533,0.832403818,2.012952368,1.650377955,1.275290088,2.135786532,ALL Sites
0 Months,"Maternal height
(25th vs. 75th %ile)",PEL,PE,153.4,146,1.390838581,0.841718143,2.298194442,1.650377955,1.275290088,2.135786532,ALL Sites
0 Months,"WAMI index
(25th vs. 75th %ile)",BGD,BG,0.625,0.453125,1.050046446,0.545160093,2.022520637,1.187957156,0.764137205,1.84684399,ALL Sites
0 Months,"WAMI index
(25th vs. 75th %ile)",BRF,BR,0.890625,0.7890625,0.715118444,0.281541189,1.816410562,1.187957156,0.764137205,1.84684399,ALL Sites
0 Months,"WAMI index
(25th vs. 75th %ile)",INV,IN,0.578125,0.359375,1.147571172,0.652904906,2.017015928,1.187957156,0.764137205,1.84684399,ALL Sites
0 Months,"WAMI index
(25th vs. 75th %ile)",NEB,NP,0.783203125,0.609375,0.758784268,0.440384229,1.307389158,1.187957156,0.764137205,1.84684399,ALL Sites
0 Months,"WAMI index
(25th vs. 75th %ile)",PEL,PE,0.609375,0.46875,1.389005562,0.900579902,2.142326791,1.187957156,0.764137205,1.84684399,ALL Sites
0 Months,"WAMI index
(25th vs. 75th %ile)",SAV,SA,0.8515625,0.71875,0.846631139,0.360869764,1.986268609,1.187957156,0.764137205,1.84684399,ALL Sites
0 Months,"WAMI index
(25th vs. 75th %ile)",TZH,TZ,0.28125,0.140625,0.986658073,0.484646554,2.008668264,1.187957156,0.764137205,1.84684399,ALL Sites
0 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",BGD,BG,-0.5625,-1.88,13.0337159,7.086649558,23.97151839,11.32737915,8.726234297,14.70388189,ALL Sites
0 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",BRF,BR,0.52,-0.88,15.08705113,2.314330782,98.3520219,11.32737915,8.726234297,14.70388189,ALL Sites
0 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",INV,IN,-0.6,-1.895,16.7207778,9.353007631,29.8924604,11.32737915,8.726234297,14.70388189,ALL Sites
0 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",NEB,NP,-0.2875,-1.3725,9.24986631,5.954721909,14.36843367,11.32737915,8.726234297,14.70388189,ALL Sites
0 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",PEL,PE,-0.05,-1.17,7.163735402,4.092270447,12.54049691,11.32737915,8.726234297,14.70388189,ALL Sites
0 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",SAV,SA,0.29,-0.925,5.335137742,2.511815912,11.33191911,11.32737915,8.726234297,14.70388189,ALL Sites
0 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",TZH,TZ,0.43,-0.59,8.637440926,3.803347489,19.61571641,11.32737915,8.726234297,14.70388189,ALL Sites
12 Months,"Maternal height
(25th vs. 75th %ile)",BGD,BG,152.5,145.8,1.501182134,1.001609522,2.249926493,2.003634282,1.626515086,2.46819127,ALL Sites
12 Months,"Maternal height
(25th vs. 75th %ile)",BRF,BR,160,150.5,0.745333126,0.210445143,2.639744786,2.003634282,1.626515086,2.46819127,ALL Sites
12 Months,"Maternal height
(25th vs. 75th %ile)",INV,IN,154.15,148.05,1.32622195,0.944588251,1.86204376,2.003634282,1.626515086,2.46819127,ALL Sites
12 Months,"Maternal height
(25th vs. 75th %ile)",NEB,NP,152.9,146.4,1.945219778,1.530675059,2.472033475,2.003634282,1.626515086,2.46819127,ALL Sites
12 Months,"Maternal height
(25th vs. 75th %ile)",PEL,PE,153.45,146,1.744814201,1.088397058,2.797119465,2.003634282,1.626515086,2.46819127,ALL Sites
12 Months,"Maternal height
(25th vs. 75th %ile)",SAV,SA,162.45,155,2.363348524,1.446497578,3.861338127,2.003634282,1.626515086,2.46819127,ALL Sites
12 Months,"Maternal height
(25th vs. 75th %ile)",TZH,TZ,159.1,152,1.717433458,0.994431562,2.966094194,2.003634282,1.626515086,2.46819127,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",INV,IN,0.580078125,0.359375,1.508867083,0.942544668,2.415460986,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",NEB,NP,0.796875,0.6171875,1.286816126,0.956798679,1.730662656,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",BGD,BG,0.615234375,0.4453125,1.634702759,0.985544966,2.71144717,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",BRF,BR,0.8984375,0.796875,1.131488881,0.508399645,2.518229703,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",TZH,TZ,0.2890625,0.140625,0.867909592,0.538166042,1.399692661,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",PEL,PE,0.609375,0.46875,0.873507727,0.540683203,1.411206684,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",SAV,SA,0.84375,0.708333333,1.262205911,0.646638813,2.463761425,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",INV,IN,0.666666667,1.186363636,1.248509545,0.826232582,1.886606892,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",BRF,BR,0.857142857,1.272727273,0.541045509,0.206005451,1.420982993,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",TZH,TZ,1,1.583333333,1.567917894,0.935794647,2.627036317,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",NEB,NP,0.545454546,0.909090909,1.164915261,0.965330689,1.40576445,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",BGD,BG,0.75,1.181818182,1.192985766,0.813421239,1.749665449,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",SAV,SA,0.416666667,0.8,2.017798847,1.037924837,3.922742803,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",PEL,PE,0.444444444,1,0.96754693,0.591586919,1.582433674,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",BRF,BR,19.1606575,15.62133,1.482407205,0.853926509,2.573442911,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",INV,IN,12.19791856,9.785934125,1.434799345,1.053252979,1.954562865,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",BGD,BG,12.71986331,9.756868563,1.600183985,1.213481957,2.110116901,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",SAV,SA,12.005277,9.336474,0.91019204,0.660440251,1.254389854,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",TZH,TZ,14.402955,11.64800533,1.558861597,1.065264576,2.281169894,1.224252108,1.062501431,1.410627017,ALL Sites
