agemonths,haz,waz,hcaz
0.0985545,0.718869468,-0.635975885,-0.652398047
1,0.431000255,-0.88915199,0.353833105
1.9,0.649382918,-0.904771474,0.030749881
2.9,0.081274863,0.033463713,-0.085907382
4.1,0.348568395,-1.113038265,-0.908778029
5,-0.305672983,-1.222969585,-0.76193614
6,-1.058509773,-1.188595034,-0.602983873
7,-0.489221643,-1.30033196,-0.33930252
8,0.32947426,-1.090863689,-0.445044142
8.9,-0.686602623,-1.027528114,-0.59989758
10.1,-0.42571213,-1.197277143,-0.78116105
11,-0.602522949,-1.200326451,-0.884577158
12,-0.569370031,-1.333497387,-0.650939894
13,-1.328351718,-1.910179222,-1.150728284
14,-1.692150379,-2.085965544,-1.182082602
14.9,-1.444521735,-1.887795179,-1.343826004
16,-1.827030262,-1.48168125,-1.355879119
17,-1.65683667,-1.599940808,-1.500808124
17.9,-1.763225288,-1.761953966,-1.611328032
19,-1.591707649,-1.940147794,-1.599291274
20,-1.720116706,-1.62189849,-1.713652501
20.9,-1.622241489,-1.64694325,-1.672282938
21.9,-1.910009099,-1.807152666,-1.785159012
22.9,-1.744955813,-1.275665883,-1.45347826
23.9,-1.658005254,-1.362232112,-1.483975188
0.1971091,0.137060952,-0.048942369,1.169865941
1,0.346317599,0.05042746,1.140330194
1.9,-0.210607761,-0.01416673,-0.112020209
3,-0.049558492,0.213252396,0.337785998
4,-0.159258781,0.288518475,-0.005612818
5,-0.119198869,0.420221109,-0.480385579
5.9,-0.06409837,-0.026664286,-0.813696337
7,-0.074390385,-0.367216926,-0.631784341
7.9,-0.129072715,0.0955015,-0.553066518
9,-0.235194527,0.461712,-0.307638343
9.9,-0.692793275,0.37931894,-1.639445979
10.9,-0.784807878,0.476886223,-0.569818815
12,-0.884277936,0.419750251,-0.431391254
12.9,-0.956895041,0.323506351,-0.245090075
14,-0.66410957,0.608119661,-0.217976074
14.9,-0.62914256,0.481740536,-0.532024332
16,-0.842905883,0.424467808,-0.154066658
17,-1.047894797,0.317606321,-0.378360358
17.9,-1.335496223,0.190823117,-0.347335127
18.9,-1.504833864,0.501038861,-0.464210814
19.9,-1.454704321,0.030534535,-0.503100693
20.9,-1.41784539,0.247511187,-0.617768291
21.9,-1.466974082,0.369015621,-0.723123466
23,-1.657766335,0.354820539,-0.46044037
24,-1.416736852,0.11812861,-0.5536153
0.1642576,-0.559564426,-0.669324076,-0.779525096
1,-0.682552273,-1.068714091,-1.771953033
2,-1.165552781,-1.455304289,-2.37389787
2.9,-1.578157185,-1.986293574,-2.471622399
3.9,-1.374601268,-2.286141866,-2.742291842
5.9,-1.39558786,-2.74867814,-3.255166371
6.9,-1.274187845,-2.776194447,-3.196488891
8,-1.848869533,-2.560528357,-3.309879423
8.9,-1.981749493,-2.780210699,-2.993514888
10,-1.753270845,-2.542504436,-3.561751399
11.1,-1.683437116,-2.436754263,-3.352687276
12,-1.85281894,-2.483893374,-2.844877788
13,-1.86713994,-2.376077974,-2.972654528
14.1,-1.660395229,-2.381715545,-3.074575663
14.9,-1.420367562,-2.442484185,-3.210898107
16.1,-1.576515257,-2.315514212,-2.6794731
17.1,-1.827896383,-2.40122155,-2.810595962
17.9,-1.54712305,-2.194641123,-2.153260307
19,-1.401485186,-2.267734458,-2.130834816
20,-1.495054756,-2.418339807,-2.236546892
20.9,-1.512792781,-2.327042252,-2.847586648
22,-1.553495131,-2.618723427,-2.95120062
23,-1.507227811,-2.395425046,-2.667383167
23.9,-1.563634808,-2.179137653,-2.604854941
0.2956636,-1.189462187,-2.262937202,-1.710909205
1,-1.112561999,-1.685456041,-1.921489613
1.9,-1.111710613,-1.408503376,-1.903661018
3,-0.984925684,-1.277933431,-1.997655529
4,-0.434380167,-0.987674874,-2.126962846
4.9,-0.743879765,-0.668654903,-1.986364192
6,-0.509553649,-0.599470953,-1.324360333
7,-0.743177202,-0.907950738,-1.589053364
7.9,-0.810075435,-0.686029725,-1.035251799
9,-0.815040695,-1.013336538,-1.024187278
10,-1.061321874,-0.939095275,-1.490928239
11,-0.878443493,-1.08366917,-1.378516651
11.9,-0.489226999,-1.117385095,-1.20271198
13,-0.671946177,-1.207192489,-1.038390371
14,-1.431119589,-1.123479499,-1.37169559
15,-1.130597032,-1.437343899,-1.996316066
16.1,-1.074243462,-1.463613779,-1.3859606
17,-1.32469185,-1.444938146,-1.36745305
17.9,-1.261246301,-1.533913932,-1.252246442
19,-1.536058845,-1.82959272,-1.37655839
20,-1.698342545,-1.430276178,-1.336269688
21,-1.671304552,-1.343738407,-1.365232848
21.9,-1.705811588,-1.63308266,-1.315908355
23,-1.707741477,-1.320960033,-1.265594148
23.9,-1.555251002,-1.301894289,-1.132285556
0.2956636,0.699489188,-0.152822281,1.107722105
1,0.410138524,-0.662157106,0.670403393
2,-0.023123599,-0.460905678,0.267640946
2.9,-0.362388521,-1.088663322,-0.115361104
4,-0.242197812,-0.987674874,-0.787196477
5,-0.422138783,-0.926676096,-1.120267576
5.9,-0.905652456,-1.278053021,-1.387472338
7,-0.787110934,-1.38999403,-1.619977624
8,-1.511019362,-1.261282063,-0.486019957
8.9,-1.446020863,-1.607641564,-1.161157139
10,-1.560707926,-1.738863083,-2.210834263
10.9,-1.688022952,-1.91250396,-1.745996362
11.9,-1.753597258,-1.520009195,-1.358453253
13,-1.027794657,-1.498635713,-1.419001284
13.9,-0.999446616,-1.254043779,-1.206927083
14.9,-1.32817448,-1.12627664,-1.368803099
16,-1.694795328,-1.386219443,-1.143625232
17,-1.97179863,-1.477456368,-1.278715632
17.9,-1.721906072,-1.378331552,-1.319521925
18.9,-1.514976693,-1.275147493,-1.143769561
19.9,-1.632850286,-1.433585687,-1.250650013
20.9,-1.861531291,-1.156569641,-1.28441008
21.9,-2.047008025,-1.260437912,-1.390006466
23,-1.807998311,-1.084285675,-1.339372518
24,-1.678471485,-1.450671266,-1.288242821
0.0985545,-1.481844414,-1.987928069,-1.330306636
1,-1.592290424,-1.677707264,-1.384997914
2,-1.665811497,-1.798456785,-2.118034767
3,-1.174775984,-2.08554092,-2.116070201
4,-1.39529194,-1.661527683,-2.713110632
5,-0.630318768,-1.364673604,-2.671918588
