"ReturnCode","LL","tvE0","tvAlpha","tvBeta","tvGam","dE0dTRT1","dE0dTRT2","dE0dTRT5","dE0dTRT6","dE0dTRT7","dE0dTRT17","dAlphadTRT1","dAlphadTRT2","dAlphadTRT5","dAlphadTRT6","dAlphadTRT7","dAlphadTRT17","dBetadTRT1","dBetadTRT2","dBetadTRT5","dBetadTRT6","dBetadTRT7","dBetadTRT17","dGamdTRT1","dGamdTRT2","dGamdTRT5","dGamdTRT6","dGamdTRT7","dGamdTRT17","dE0dBLMEANTTP","dAlphadBLMEANTTP","dGamdBLMEANTTP","dBetadBLMEANTTP","EEps","omega(nE0,nE0)","omega(nAlpha,nE0)","omega(nAlpha,nAlpha)","omega(nBeta,nE0)","omega(nBeta,nAlpha)","omega(nBeta,nBeta)","omega(nGam,nE0)","omega(nGam,nAlpha)","omega(nGam,nBeta)","omega(nGam,nGam)"
3,-16223.5,3.47333,21.8613,1.85721,0.0509831,-0.154751,-0.130832,-0.197904,-0.219024,-0.0368321,0.418753,-0.0123677,-0.222037,-0.155617,0.196211,0.0104309,0.0465993,-0.0117337,-0.10152,-0.0367858,0.0242613,0.0191727,0.228157,-0.0929414,0.025895,0.563192,0.0358476,0.0294798,0.0546062,0.783067,0.158706,-0.60472,-0.338381,0.254753,0.340694,-0.1274,0.178721,0.137804,0.00305118,0.0786707,0.153254,-0.186932,0.0102716,0.481484
3,-16623.6,1.72431,22.9743,1.60533,0.0496224,0.129302,0.512559,0.164814,-0.107142,-0.050497,0.165129,-0.0150621,-0.440447,-0.125957,0.150716,0.0171924,0.0393764,-0.00539792,-0.0465039,0.0381555,0.049315,-0.0145466,0.0723039,0.0727107,0.0216898,0.362022,0.0672497,0.0734098,-0.000188989,1.36164,-0.0275174,-0.356112,-0.377988,0.26576,0.2144,-0.110407,0.0957906,0.0471913,0.00150636,0.0276406,0.302485,-0.12375,0.0903862,0.571554
3,-16661.6,1.81317,22.1065,1.5625,0.0497692,0.0483323,0.48939,0.0942196,-0.119728,-0.0255362,0.0507969,-0.0293587,-0.261834,-0.230826,0.110943,0.0306608,0.0931627,-0.00758811,0.101726,-0.00329641,0.0530575,-0.0110042,0.0966501,-0.0778649,0.0132527,0.688474,0.0724366,0.100942,0.0229604,1.31935,-0.0235498,-0.369614,-0.385151,0.259247,0.174316,-0.108539,0.117132,0.0206971,0.0213058,0.0261074,0.223582,-0.110345,0.0472324,0.49162
3,-17012.7,3.22827,21.2504,1.79219,0.0521698,-0.151231,-0.124163,-0.200312,-0.230969,-0.0396193,0.367489,-0.0130388,-0.283504,-0.18027,0.210689,0.0101025,0.0494727,-0.0121372,-0.120645,-0.0400172,0.0237244,0.0181568,0.230934,-0.0994227,0.0247308,0.513427,0.0348615,0.0293004,0.0560416,0.88276,0.129362,-0.592646,-0.372085,0.263875,0.256057,-0.0910704,0.123963,0.106348,0.00686772,0.0659818,0.212317,-0.134732,0.059176,0.524865
3,-17329.7,2.64661,23.3483,1.72724,0.0466455,-0.156367,-0.141316,-0.222327,-0.257645,-0.0402662,0.416708,-0.0132051,-0.329728,-0.154658,0.211992,0.0100127,0.0457071,-0.0123255,-0.101866,-0.0388696,0.0221461,0.0181621,0.217297,-0.102581,0.0245234,0.499994,0.0347013,0.0288949,0.0536931,0.918401,0.149231,-0.568688,-0.359848,0.272752,0.304312,-0.0513829,0.0769082,0.103345,0.0145658,0.050121,0.123819,-0.0891187,0.0102827,0.408155
3,-16668.6,2.7109,21.221,1.71453,0.0555016,0.0172772,-0.108919,-0.135762,0.128133,-0.0466823,0.177832,-0.0122994,-0.236995,-0.109324,0.110546,0.0113151,0.052749,-0.0149176,-0.0925922,-0.0337346,0.0186531,0.0181967,0.138267,-0.00358343,0.0229424,0.449932,0.0256581,0.0372696,0.0539926,0.816101,0.068461,-0.48451,-0.478453,0.266854,0.485736,-0.115915,0.131243,0.15393,0.014096,0.0737414,0.158743,-0.123993,0.0075522,0.385258
3,-16918.9,1.87747,22.4748,1.55784,0.0502473,-0.0931446,-0.0826918,-0.114604,-0.341332,-0.0412315,0.482048,-0.0122075,-0.294947,-0.136025,0.123176,0.0108481,0.0529303,-0.0118417,-0.108765,-0.0373658,0.0232633,0.0185672,0.183096,-0.060572,0.0226221,0.551249,0.0309114,0.0279206,0.0553681,1.14445,0.0440746,-0.408248,-0.392373,0.272238,0.276774,-0.109865,0.0901466,0.0396248,0.0140516,0.0247315,0.281383,-0.104809,0.0447925,0.471296
3,-16501.1,2.91592,22.1959,1.76015,0.0520026,-0.147861,-0.13634,-0.216521,-0.21161,-0.0405574,0.396997,-0.0129687,-0.239381,-0.165548,0.178608,0.0099708,0.0449531,-0.0125223,-0.101131,-0.0405998,0.0221478,0.0180191,0.209341,-0.0965143,0.0247388,0.530902,0.0342072,0.0288925,0.0544752,0.763526,0.17345,-0.586636,-0.428275,0.267732,0.459136,-0.0991443,0.104577,0.157744,0.00709316,0.0745642,0.191308,-0.110917,0.0315538,0.41458
3,-16905.1,2.28733,22.5576,1.69736,0.0511816,-0.133849,0.0998833,0.00264845,-0.210565,-0.0416345,0.00988448,-0.0186325,-0.332167,-0.231722,0.122164,0.0138994,0.0836046,-0.0129697,-0.12652,-0.0353062,0.0238723,-0.000864441,0.0467217,0.0762081,0.0236485,0.690201,0.0186364,0.0389463,0.0483539,1.0983,0.0722047,-0.564859,-0.340112,0.261537,0.251181,-0.081172,0.0943195,0.0572212,0.0154876,0.0300555,0.164924,-0.115297,0.00608074,0.464173
3,-16860,1.93313,23.4188,1.61901,0.0462897,-0.11221,-0.0389794,-0.139554,-0.234248,-0.0460145,0.360717,-0.0135493,-0.254672,-0.156435,0.121911,0.0105773,0.0493088,-0.0128599,-0.0971554,-0.0346136,0.0265295,0.0172574,0.11747,-0.0653133,0.0218206,0.589209,0.0347101,0.0332339,0.0466336,1.17537,0.162477,-0.782233,-0.355293,0.25642,0.403139,-0.17251,0.126889,0.00976396,0.031628,0.024396,0.319904,-0.128982,0.0132335,0.452965
3,-16793.5,2.21793,22.2682,1.58386,0.0490883,-0.121035,-0.0943674,-0.179819,-0.242185,-0.0324703,0.409998,-0.0122895,-0.286876,-0.120626,0.152042,0.0117019,0.0529412,-0.0116292,-0.10342,-0.0313966,0.0250557,0.0163335,0.19064,-0.0680221,0.0247097,0.494479,0.0358588,0.034381,0.0531226,0.891557,0.128918,-0.633695,-0.44044,0.268186,0.52238,-0.117905,0.0991454,0.126914,0.0171846,0.0599932,0.21863,-0.0708687,0.0419486,0.320468
