combination,count
Anosmia,140
Cough,57
Fatigue,198
Diarrhea,12
Breath,5
Fever,11
Cough&Fatigue,179
Fatigue&Fever,28
Breath&Fatigue,10
Diarrhea&Fatigue,43
Anosmia&Fatigue,281
Breath&Cough,1
Anosmia&Diarrhea&Fatigue,64
Breath&Cough&Fatigue,22
Anosmia&Cough&Fatigue,259
Anosmia&Fever&Fatigue,46
Cough&Fever&Fatigue,54
Cough&Diarrhea,7
Cough&Diarrhea&Fatigue,31
Anosmia&Breath&Cough&Fatigue,26
Anosmia&Cough&Fatigue&Fever,69
Anosmia&Breath&Cough&Diarrhea&Fatigue,18
Anosmia&Breath&Cough&Fatigue&Fever,17
Breath&Cough&Fatigue&Fever,11
Breath&Cough&Diarrhea&Fatigue,7
Breath&Cough&Diarrhea&Fatigue&Fever,8
Diarrhea&Fatigue&Fever,12
Cough&Diarrhea&Fatigue&Fever,17
Anosmia&Diarrhea&Fatigue&Fever,17
Anosmia&Diarrhea&Cough&Fatigue,41
Anosmia&Breath&Cough&Diarrhea&Fatigue&Fever,23
Anosmia&Cough&Diarrhea&Fatigue&Fever,50
